"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
3,4,18,"B0CGZVCKFT",true,1448,"JPY",2019,571,28.28,0,0,"https://www.amazon.jp/dp/B0CGZVCKFT",0,false,false,false,false,"Nike Arm Sleeve Lightweight Running Sleeve 2.0","https://m.media-amazon.com/images/I/31d8NEz6r0L._AC_UL320_.jpg"
1,15,29,"B0C9ZL4BGD",true,1006,"JPY",1587,581,36.61,0,0,"https://www.amazon.jp/dp/B0C9ZL4BGD",0,false,false,false,false,"NIKE ナイキ Fleece Neck Warmer 2.0 CW5030-010","https://m.media-amazon.com/images/I/71GWiU-RZJL._AC_UL320_.jpg"
1,35,49,"B0CD6J32VG",true,1018,"JPY",1154,136,11.79,0,0,"https://www.amazon.jp/dp/B0CD6J32VG",0,false,false,false,false,"Nike Jordan Jumpman Headband","https://m.media-amazon.com/images/I/91dTWPfiW3L._AC_UL320_.jpg"
2,10,65,"B0DLKLTHJ3",true,2271,"JPY",2524,253,10.02,0,0,"https://www.amazon.jp/dp/B0DLKLTHJ3",0,false,false,false,false,"NIKE ナイキ ピーク Dri-Fit ビーニー RN5052","https://m.media-amazon.com/images/I/51KFq1HS9pL._AC_UL320_.jpg"
2,21,76,"B0DTTSCRW4",true,970,"JPY",1154,184,15.94,0,0,"https://www.amazon.jp/dp/B0DTTSCRW4",0,false,false,false,false,"NIKE Dri-Fit Fury Classic Headband University Red/White BN3050-681","https://m.media-amazon.com/images/I/71m4lnNy-DL._AC_UL320_.jpg"
2,28,83,"B094YTQYSD",true,1425,"JPY",1731,306,17.68,0,0,"https://www.amazon.jp/dp/B094YTQYSD",0,false,false,false,false,"NIKE ナイキ ベースボールベルト3.0 / Free Size/ BA8011","https://m.media-amazon.com/images/I/61HG+PtW96L._AC_UL320_.jpg"
2,30,85,"B0DTTJXY7Z",true,1073,"JPY",1298,225,17.33,0,0,"https://www.amazon.jp/dp/B0DTTJXY7Z",0,false,false,false,false,"NIKE ナイキ Dri-Fit フューリー ワイドヘッドバンド","https://m.media-amazon.com/images/I/61VGNvDgKQL._AC_UL320_.jpg"
3,15,111,"B0DWFJMPBF",true,1244,"JPY",1875,631,33.65,0,0,"https://www.amazon.jp/dp/B0DWFJMPBF",0,false,false,false,false,"Nike TW2000 Jacquard Towel, Medium","https://m.media-amazon.com/images/I/51ko3I08cLL._AC_UL320_.jpg"
3,29,125,"B0FMK1GFFK",true,1168,"JPY",1298,130,10.02,0,0,"https://www.amazon.jp/dp/B0FMK1GFFK",0,false,false,false,false,"NIKE Mens Durafeel X Left Hand / S M L XL / GF1012","https://m.media-amazon.com/images/I/519BQhEWuDL._AC_UL320_.jpg"
3,36,132,"B0DXKGPPC6",true,905,"JPY",1154,249,21.58,0,0,"https://www.amazon.jp/dp/B0DXKGPPC6",0,false,false,false,false,"NIKE ナイキ フレックス クラシック スリムヘッドバンド 6本パック","https://m.media-amazon.com/images/I/61DlCQ4WDPL._AC_UL320_.jpg"
